year,month,day,weekday,sub_city,woreda,fire_type,cause_type,property_damage,water_used,personnel,distance_km,response_minutes,severity
2017,1,24,1,አ/ከተማ ,10,የትራንስፎርመር ቃጠሎ,አይታወቅም,10000.0,1000.0,9.0,2.0,2.0,Low
2017,1,24,1,ጉለሌ,9,የቤት ቃጠሎ,አይታወቅም,5000.0,6000.0,9.0,4.0,4.0,Low
2017,1,26,3,ልደታ,5,የቤት ቃጠሎ,አይታወቅም,5000000.0,3000.0,9.0,3.0,5.0,High
2017,1,28,5,ኮልፌ,8,የሱቅ ቃጠሎ,አይታወቅም,300000.0,6000.0,6.0,4.0,5.0,Medium
2017,1,30,0,አራዳ,5,የቤት ቃጠሎ,ከከሰል የተነሳ,40000.0,4000.0,9.0,0.5,1.0,Low
2017,1,2,0,ኦሮሚያ,ኖኖ,የሆቴል ቃጠሎ,አይታወቅም,1000000.0,18000.0,25.0,6.0,8.0,High
2017,5,2,1,ኮልፌ,3,የቤት ቃጠሎ,አይታወቅም,100000.0,1000.0,6.0,6.0,5.0,Medium
2017,5,2,1,አ/ቃሊቲ,5,የቤት ቃጠሎ,አይታወቅም,120000.0,6000.0,9.0,3.0,7.0,Medium
2016,7,2,5,ቂርቆስ,10,የፖል ቃጠሎ,አይታወቅም,20000.0,3000.0,9.0,4.0,3.0,Low
2017,7,2,6,አ/ከተማ ,6,የቤት ቃጠሎ,አይታወቅም,450000.0,28000.0,27.0,3.0,4.0,Medium
2017,8,2,2,የካ,8,የቤት ቃጠሎ,አይታወቅም,500000.0,7000.0,15.0,6.0,7.0,Medium
2017,9,2,5,ለሚኩራ,3,የመጋዘን ቃጠሎ,አይታወቅም,100000.0,15000.0,18.0,11.0,12.0,Medium
2012,9,2,6,አ/ከተማ ,12,የቤት ቃጠሎ,ኤ/ኮንታክት,80000.0,6000.0,9.0,7.0,10.0,Low
2017,9,2,5,ኦሮሚያ,ሸ/ሲቲ,የፋብሪካ ቃጠሎ,ኤ/ኮንታክት,100000000.0,54000.0,30.0,22.0,39.0,High
2017,10,2,0,ጨርቆስ,8,የቢሮ ቃጠሎ,አይታወቅም,200000.0,12000.0,15.0,6.0,6.0,Medium
2017,11,2,3,አ/ከተማ ,1,የንግድ ሱቆች ቃጠሎ,አይታወቅም,0.0,2236680.0,267.0,4.0,3.0,Low
2017,2,14,1,አ/ከተማ ,6,የቤት ቃጠሎ,አይታወቅም,200000.0,21000.0,24.0,2.0,2.0,Medium
2017,2,14,1,ልደታ,7,የቤት ቃጠሎ,አይታወቅም,2000000.0,104000.0,65.0,1.0,2.0,High
2017,2,17,4,ኮልፌ,3,የቤት ቃጠሎ,ኤ/ኮንታክት,100000.0,31000.0,27.0,10.0,5.0,Medium
2017,2,21,1,ኦሮሚያ,መልካ ኖኖ,የመኖሪያ ቤት ቃጠሎ (የተፈናቃዮች),አይታወቅም,1500000.0,22000.0,24.0,7.0,8.0,High
2017,2,21,1,አ/ከተማ,8,የመኪና ቃጠሎ,አይታወቅም,100000.0,200.0,9.0,2.0,2.0,Medium
2017,2,22,2,ቦሌ,12,የሸራ ቤት ቃጠሎ,አይታወቅም,5000000.0,206000.0,92.0,6.0,5.0,High
2017,2,24,4,አ/ከተማ,13,የወፍጮ ቤት ቃጠሎ,አይታወቅም,20000.0,6000.0,9.0,2.0,5.0,Low
2017,2,25,5,አ/ከተማ,6,የንግድ ቤት ቃጠሎ,አይታወቅም,115000.0,46000.0,47.0,4.0,4.0,Medium
2017,1,26,3,ኦሮሚያ,3,የሱቆች ቃጠሎ,አይታወቅም,1500000.0,24000.0,23.0,11.0,15.0,High
2017,2,27,0,አቃቂ,13,የህንፃ መሳሪያ ቃጠሎ,ኤሌክትሪክ ኮንታክት,3000000.0,6000.0,9.0,10.0,10.0,High
2017,2,27,0,ቦሌ,6,የገራዥ ቃጠሎ,ኤሌክትሪክ ኮንታክት,35000.0,6000.0,15.0,2.0,3.0,Low
2017,1,3,1,ቦሌ,13,የቤት ቃጠሎ,አይታወቅም,650000.0,24000.0,31.0,7.0,8.0,Medium
2017,1,3,1,አራዳ,4,የሆቴል ቃጠሎ,አይታወቅም,1000000.0,27000.0,37.0,0.0,2.0,High
2017,2,3,4,ቦሌ,3,የመኖሪያ ቤት ቃጠሎ,አይታወቅም,100000.0,12000.0,12.0,3.0,4.0,Medium
2017,2,3,4,ልደታ,4,የቤት ቃጠሎ,አይታወቅም,200000.0,3000.0,9.0,3.0,3.0,Medium
2017,4,3,0,ልደታ,8,የቤት ቃጠሎ,አይታወቅም,700000.0,18000.0,12.0,3.5,4.0,Medium
2017,8,3,3,አ/ከተማ,1,የመኖሪያ ቤቶችና ሱቆች (መጋዘን) ቃጠሎ,አይታወቅም,6000000.0,382000.0,150.0,2.0,2.0,High
2017,8,3,3,ን/ስልክ,11,የኩሽ ቃጠሎ,አይታወቅም,50000.0,6000.0,9.0,5.0,6.0,Low
2017,9,3,6,አራዳ,4,የቤት ቃጠሎ,ከሻማ የተነሳ,150000.0,6000.0,9.0,2.0,3.0,Medium
2017,10,3,1,ሸገር ሲቲ,አንዶዴ,የጤፍ ክምር ቃጠሎ,አይታወቅም,40000.0,6000.0,6.0,20.0,10.0,Low
2017,10,3,1,ን/ስልክ,12,የቤት ቃጠሎ,አይታወቅም,200000.0,18000.0,15.0,5.0,5.0,Medium
2017,11,3,4,ቂርቆስ,5,የፎቅ ቃጠሎ,አይታወቅም,850000.0,46000.0,41.0,1.5,2.0,Medium
2017,11,3,4,የካ,5,የቤት ቃጠሎ,አይታወቅም,63000.0,6000.0,9.0,4.0,3.0,Low
2017,12,3,6,ቦሌ,3,የቤት ቃጠሎ,አይታወቅም,1000000.0,4000.0,15.0,3.0,4.0,High
2017,3,13,0,ቡራዬ,ከታ,የቤት ቃጠሎ,አይታወቅም,80000.0,6000.0,15.0,10.0,9.0,Low
2017,3,14,1,አቃቂ,6,የኩሽ ቃጠሎ,አይታወቅም,1000.0,1000.0,9.0,2.0,3.0,Low
2017,3,15,2,አ/ከተማ,11,የእንጨት መጋዘን ቃጠሎ,አይታወቅም,1000000.0,41500.0,51.0,4.0,4.0,High
2017,3,15,2,አ/ከተማ,13,የጫካ ቃጠሎ,አይታወቅም,20000.0,11000.0,16.0,4.0,5.0,Low
2017,3,15,2,ኮልፌ,5,የቤት ቃጠሎ,የኤ.ኮንታክት,300000.0,18000.0,21.0,3.0,4.0,Medium
2017,3,16,3,አራዳ,5,የእስቶር ቃጠሎ,አይታወቅም,100000000.0,586000.0,125.0,1.0,30.0,High
2017,3,17,4,ቦሌ,17,የቤት ቃጠሎ,አይታወቅም,10000.0,2000.0,9.0,7.0,8.0,Low
2017,3,17,4,ለሚኩራ,9,የመኪና ቃጠሎ,አይታወቅም,7000000.0,18000.0,26.0,4.0,4.0,High
2017,3,15,2,ጉለሌ,2,ፍርስራሽ ቃጠሎ ,ቆሻሻ ሲቃጠል,1000.0,6000.0,9.0,4.0,5.0,Low
2017,7,3,0,ቦሌ,14,የመኖሪያ ቤት ቃጠሎ,አይታወቅም,50000.0,1000.0,9.0,4.0,5.0,Low
2017,9,3,6,ቦሌ,5,የቤት ቃጠሎ,ኤሌክትሪክ ኮንታክት,200000.0,4000.0,9.0,1.0,50.0,High
2017,3,21,1,ለሚኩራ,8,የቤት ቃጠሎ,አይታወቅም,1000000.0,12000.0,15.0,8.0,8.0,High
2017,3,21,1,አ/ቃሊቲ,13,የቤት ቃጠሎ,አይታወቅም,400000.0,6000.0,9.0,12.0,12.0,Medium
2017,3,21,1,አ/ቃሊቲ,8,የወረዳ 08 ጽ/ቤት ቃጠሎ,አይታወቅም,100000.0,12000.0,17.0,4.0,5.0,Medium
2017,3,22,2,ለሚኩራ,9,የቆሻሻ ቃጠሎ,አይታወቅም,7000.0,7000.0,21.0,5.0,4.0,Low
2017,3,23,3,አራ ,7,የቤት ቃጠሎ,አይታወቅም,100000.0,18000.0,22.0,3.0,8.0,Medium
2017,3,25,5,ለሚኩራ,5,የቤት ቃጠሎ,አይታወቅም,30000.0,4000.0,9.0,2.5,3.0,Low
2017,3,27,0,ኮልፌ,2,የጎማ ቃጠሎ,አይታወቅም,200000.0,6000.0,9.0,7.0,9.0,Medium
2017,3,28,1,ሸገር ,አንዶሴ,የእህል ክምር ቃጠሎ,እሸት ሲጠብሱ,40000.0,6000.0,6.0,15.0,15.0,Low
2017,3,28,1,አ/ቃሊቲ,5,የሳር ክምር ቃጠሎ,አይታወቅም,30000.0,40000.0,19.0,6.0,7.0,Low
2017,3,28,1,ቦሌ,3,የከብቶች በረት ቃጠሎ,ቆሻሻ ሲያቃጥሉ,7900000.0,186000.0,131.0,4.0,5.0,High
2017,3,28,1,ገላን ,አንዶዴ,የጤፍ ክምር ቃጠሎ,አይታወቅም,80000.0,6000.0,9.0,16.0,17.0,High
2017,3,29,2,መኔአብቹ,ቱፋ ሙና ,የሳር ክምር ቃጠሎ,አይታወቅም,80000.0,31000.0,16.0,20.0,25.0,High
2017,3,28,1,ለሚኩራ,13,የእንጨት ቤት ቃጠሎ,አይታወቅም,2500000.0,72000.0,42.0,5.0,5.0,High
2017,3,29,2,ኮልፌ,8,የቤት ቃጠሎ,ኤሌክትሪክ ኮንታክት ,100000.0,6000.0,9.0,6.0,8.0,Medium
2017,3,29,2,ቦሌ,11,የጤፍ ክምር ቃጠሎ,አይታወቅም,45000.0,6000.0,6.0,14.0,5.0,Low
2017,3,30,3,ለሚኩራ,9,የቤት ቃጠሎ,አይታወቅም,50000.0,6000.0,6.0,6.0,4.0,Low
2017,2,4,5,ቦሌ,12,የንግድ ቤትና የቤት ቃጠሎ,አይታወቅም,200000.0,24000.0,32.0,3.0,4.0,Medium
2017,3,4,5,አ/ቃሊቲ,10,ጅምር ቤት ቃጠሎ,ቆሻሻ ሲያቃጥሉ,50000.0,4000.0,6.0,10.0,11.0,Low
2017,4,4,1,ኮልፌ,7,የቤት ቃጠሎ,አይታወቅም,50000.0,6000.0,9.0,1.0,1.0,Low
2017,4,4,1,አ/ከተማ,6,የቤት ቃጠሎ,አይታወቅም,200000.0,9000.0,18.0,2.0,2.0,Medium
2017,7,4,1,ሸገር ,ገላን ,የእህል ክምር ቃጠሎ,አይታወቅም,100000.0,12000.0,16.0,14.0,8.0,Medium
2017,7,4,1,ሸገር ,ገላን ,የወረቀት ቆሻሻ ቃጠሎ,ቆሻሻ ሲያቃጥሉ,250000.0,12000.0,16.0,13.0,7.0,Medium
2017,9,4,0,ቦሌ,5,የባስ ቃጠሎ,አይታወቅም,1000.0,1000.0,9.0,1.0,2.0,Low
2017,9,4,0,አ/ከተማ,11,የሱቅ ቃጠሎ,የኤ/ኮንታክት,0.0,9000.0,15.0,5.0,5.0,Low
2017,9,4,0,ለሚኩራ,2,የፎቅ ቃጠሎ,የኤ/ኮንታክት,75000.0,1000.0,9.0,7.0,6.0,Low
2017,10,4,2,ቦሌ,7,የብረታ ብረት እንጨት ስራ ቃጠሎ,አይታወቅም,2500000.0,80000.0,42.0,3.0,4.0,High
2017,10,4,2,ሸገር ,ኮቶናተው,የት/ቤት ቃጠሎ,አይታወቅም,500000.0,18000.0,25.0,11.0,11.0,Medium
2017,4,13,3,ኮልፌ,4,የቤት ቃጠሎ,የኤ/ኮንታክት,500000.0,6000.0,9.0,12.0,8.0,Medium
2017,4,14,4,ኮልፌ,5,የቤት ቃጠሎ,አይታወቅም,100000.0,6000.0,9.0,7.0,9.0,Medium
2017,4,14,4,ኮልፌ,5,የቤት ቃጠሎ,አይታወቅም,100000.0,6000.0,9.0,7.0,9.0,Medium
2017,4,15,5,ጉለሌ,9,የመኪና ቃጠሎ,አይታወቅም,20000.0,3000.0,9.0,4.0,5.0,Low
2017,4,15,5,አራዳ,6,የመኪና ቃጠሎ,ኤ/ኮንታክት,190000.0,3000.0,9.0,1.0,2.0,Medium
2017,4,16,6,ሸገር ሲቲ,ቱፋ መና,የመጋዘንና ሳር ክምር ቃጠሎ,ኤ/ኮንታክት,1000000.0,18000.0,21.0,16.0,18.0,High
2017,4,17,0,ቦሌ,12,የጓሮ አትክልት ቃጠሎ,አይታወቅም,30000.0,5000.0,6.0,13.0,13.0,Low
2017,4,18,1,አ/ከተማ,1,የምጣድ ማምረቻ እና የህንፃ መሳሪያ ቃጠሎ,አይታወቅም,1500000.0,50500.0,38.0,4.0,5.0,High
2017,4,18,1,ኮልፌ,1,የሱቅ ቃጠሎ,አይታወቅም,5000000.0,35000.0,32.0,5.0,5.0,High
2017,4,19,2,አራዳ,5,የሱቅ ቃጠሎ,አይታወቅም,300000.0,18000.0,21.0,1.0,2.0,Medium
2017,4,20,3,አ/ከተማ,13,የጫካ ቃጠሎ,አይታወቅም,2000.0,9000.0,15.0,4.0,6.0,Low
2017,4,22,5,ሸገር ሲቲ,ገላን,የእህል ክምር ቃጠሎ,አይታወቅም,180000.0,18000.0,15.0,25.0,25.0,High
2017,4,23,6,ቦሌ,13,የጎጆ ቤት ቃጠሎ,አይታወቅም,80000.0,6000.0,9.0,5.0,6.0,Low
2017,4,24,0,ሸገር ሲቲ,ባቡ,የጤፍ ክምር ቃጠሎ,አይታወቅም,1000000.0,12000.0,16.0,10.0,9.0,High
2017,4,24,0,አራዳ,5,የፖሊስ ሴንተር ቃጠሎ,አይታወቅም,5000.0,1000.0,9.0,1.5,2.0,Low
2017,4,25,1,ጉለሌ,5,የኩሽና ቃጠሎ,ከእስቶቭ ተነሳ,50000.0,6000.0,9.0,4.0,5.0,Low
2017,4,26,2,የካ,9,የቆሻሻ ቃጠሎ,አይታወቅም,0.0,6000.0,9.0,9.0,10.0,Low
2017,4,26,2,አራዳ,9,የእንጨት ክምር ቃጠሎ,አይታወቅም,20000.0,12000.0,15.0,3.0,3.0,Low
2017,4,27,3,አ/ቃሊቲ,6,የፎረንሲክ መኪና ቃጠሎ,ከዘይት ፍሳሽ የተነሳ ,20000.0,6000.0,9.0,3.0,2.0,Low
2017,4,27,3,አራዳ,5,የቤት ቃጠሎ,ኤ/ኮንታክት,85000.0,6000.0,9.0,1.5,2.0,Low
2017,4,27,3,ኮልፌ,9,ግድብ ውስጥ ዘንባባ ቃጠሎ,አይታወቅም,2000.0,2000.0,9.0,7.0,9.0,Low
2017,4,27,3,አ/ከተማ,1,የቤት ቃጠሎ,አይታወቅም,85000.0,280000.0,36.0,3.5,3.0,Low
2017,4,28,4,የካ,4,የኩሽና ቃጠሎ,አይታወቅም,5000.0,6000.0,9.0,3.0,6.0,Low
2017,4,28,4,አ/ቃሊቲ,8,የፖል ቃጠሎ,ኤ/ኮንታክት,500000.0,100.0,9.0,2.0,4.0,Medium
2017,4,28,4,የካ,6,የቆሻሻ ቃጠሎ,አይታወቅም,0.0,24000.0,15.0,3.0,3.0,Low
2017,4,28,4,ጉለሌ,9,የቤት ቃጠሎ,አይታወቅም,150000.0,12000.0,15.0,4.0,6.0,Medium
2017,4,29,5,ለሚኩራ,10,የቤት ቃጠሎ,አይታወቅም,400000.0,6000.0,9.0,4.2,5.0,Medium
2017,4,29,5,አ/ቃሊቲ,1,የቤት ቃጠሎ,አይታወቅም,200000.0,7000.0,15.0,6.0,8.0,Medium
2017,4,29,5,ቦሌ,5,የኪችን ቃጠሎ,አይታወቅም,80000.0,6000.0,9.0,2.0,3.0,Low
2017,4,30,6,አ/ከተማ,6,የቤት ቃጠሎ,አይታወቅም,400000.0,35000.0,34.0,2.0,2.0,Medium
2017,1,5,3,ጉለሌ,3,የቤት ቃጠሎ,አይታወቅም,600000.0,12000.0,12.0,2.5,3.0,Medium
2017,3,5,6,ኦሮሚያ,ሸገር ሲቲ,የቤት ቃጠሎ,ኤ/ኮንታክት,300000.0,6000.0,9.0,5.0,6.0,Medium
2017,3,5,6,ኮልፌ,9,የእስቶር ቃጠሎ,ኤ/ኮንታክት,20000.0,6000.0,9.0,5.5,10.0,Low
2017,3,5,6,ኮልፌ,5,የሳር ክምር ቃጠሎ,አይታወቅም,1000.0,6000.0,9.0,4.0,10.0,Low
2017,4,5,2,አ/ቃሊቲ,5,የመኖሪያ ቤት ቃጠሎ,አይታወቅም,400000.0,6000.0,6.0,9.0,10.0,Medium
2017,5,5,4,ኮልፌ,4,መጋዘን ቃጠሎ,ኤ/ኮንታክት,40000.0,6000.0,9.0,3.0,4.0,Low
2017,5,5,4,ሸገር ሲቲ,11,የእህል ክምር ቃጠሎ,አይታወቅም,1500000.0,48000.0,29.0,14.0,14.0,High
2017,5,4,3,የካ ,6,የቆሻሻ ቃጠሎ,አይታወቅም,0.0,6000.0,9.0,6.0,0.0,Low
2017,5,5,4,ን/ላፍቶ,13,የሬንጅ ቃጠሎ ,ከአቅም በላይ እሳት ማንድ,7000.0,6000.0,9.0,7.0,6.0,Low
2017,6,5,0,ልደታ,8,የሱቅ ቃጠሎ,ኤ/ኮንታክት,115000.0,3000.0,9.0,2.0,3.0,Medium
2017,7,5,2,አራዳ,3,የሼድ ቃጠሎ,ኤ/ኮንታክት,20000000.0,257000.0,96.0,3.0,3.0,High
2017,9,5,1,ን/ላፍቶ,10,የንግድ ቤት ቃጠሎ,ኤ/ኮንታክት,50000.0,6000.0,9.0,1.0,1.0,Low
2017,9,5,1,አ/ቃሊቲ,1,የቤት ቃጠሎ,አይታወቅም,100000.0,6000.0,10.0,5.0,5.0,Medium
2017,9,5,1,ጉለሌ,10,የቤት ቃጠሎ,አይታወቅም,10000.0,6000.0,9.0,3.0,2.0,Low
2017,11,5,6,ቂርቆስ,0,የዛፍ ቃጠሎ,ኤ/ኮንታክት,1000.0,6000.0,9.0,3.0,2.0,Low
2017,11,5,6,ለሚኩራ,6,የጤፍ ክምር ቃጠሎ,አይታወቅም,320000.0,20000.0,18.0,9.0,19.0,High
2017,11,5,6,ሸገር ሲቲ,አንዶዴ,የእህል ክምር ቃጠሎ,አይታወቅም,80000.0,6000.0,9.0,12.0,10.0,Low
2017,11,5,6,ሸገር ሲቲ,ሸገር ሲቲ,የቆሻሻ ቃጠሎ,አይታወቅም,0.0,12000.0,15.0,40.0,30.0,High
2017,12,5,1,ቂርቆስ,10,የመኪና ቃጠሎ,አይታወቅም,300000.0,4000.0,9.0,11.0,3.0,Medium
2017,12,5,1,ሸገር ሲቲ,ተኩዬ,የእህል ክምር ቃጠሎ,አይታወቅም,2100000.0,112000.0,16.0,63.0,1.0,High
2017,5,13,5,ለሚኩራ,4,የሰደድ እሳት,አይታወቅም,10000.0,24000.0,31.0,10.0,10.0,Low
2017,5,15,0,ለሚኩራ,8,የተትራንስፈር ቃጠሎ,አይታወቅም,400000.0,1000.0,9.0,4.0,4.0,Medium
2017,5,15,0,ቦሌ,12,የንግድ ቤት ቃጠሎ,ኤ/ኮንታክት,300000.0,6000.0,9.0,8.0,9.0,Medium
2017,5,15,0,ን/ላፍቶ,6,የቆሻሻ ቃጠሎ,ሆን ተብሎ,0.0,6000.0,9.0,1.0,2.0,Low
2017,5,17,2,ጉለሌ,5,የእንጨት መሰንጠቂያ ቃጠሎ,አይታወቅም,10000.0,6000.0,9.0,2.0,2.0,Low
2017,5,17,2,ሸገር ሲቲ,ሸገር ሲቲ,የቤት ቃጠሎ,የኤሌክትሪክ ኮንታክት,300000.0,6000.0,9.0,16.0,43.0,High
2017,5,17,2,ለሚኩራ,13,የህንፃ ቃጠሎ,አይታወቅም,1500000.0,122000.0,27.0,6.0,7.0,High
2017,5,19,4,ሸገር ሲቲ,ወዴሳ,የእህል ክምር ቃጠሎ,አይታወቅም,50000.0,12000.0,16.0,7.0,8.0,Low
2017,5,21,6,ኦሮሚያ,ገዳ ሁርጅ,የቤት ቃጠሎ,አይታወቅም,200000.0,6000.0,9.0,13.0,27.0,High
2017,5,21,6,ቦሌ,6,የቤት ቃጠሎ,የኤሌክትሪክ ኮንታክት,90000.0,12000.0,22.0,5.0,4.0,Low
2017,5,21,6,አ/ከተማ,3,ዳቦ ቤት ቃጠሎ,አይታወቅም,1500000.0,22000.0,34.0,2.0,2.0,High
2017,5,22,0,ን/ላፍቶ,12,የፎቅ ቃጠሎ,አይታወቅም,3000000.0,227000.0,56.0,5.0,6.0,High
2017,5,22,0,ን/ላፍቶ,6,የቤት ቃጠሎ,አይታወቅም,700000.0,4000.0,14.0,6.0,7.0,Medium
2017,5,22,0,አ/ቃሊቲ,12,የመጋዘንና ፋብሪካ ቃጠሎ ,አይታወቅም,1000000.0,6000.0,10.0,9.0,10.0,High
2017,5,23,1,አራዳ,7,የቤት ቃጠሎ,አይታወቅም,500000.0,6000.0,9.0,3.0,10.0,Medium
2017,5,24,2,ቦሌ,13,የቤት ቃጠሎ,የኤሌክትሪክ ኮንታክት,150000.0,6000.0,9.0,3.0,4.0,Medium
